HOOD,Safety,Environment,Entertainment
Central Oakland,0,0.06,0
North Oakland,0.1,0.11,0
West Oakland,0.2,0.01,0
Crawford-Roberts,0,0.05,0.53
Strip District,0,0.03,0.1
Central Business District,0,0.09,0.53
Spring Hill-City View,0,0.01,0.57
Perry South,0,0.05,0.96
Summer Hill,0.8,0.01,0.96
Northview Heights,0,0,0.96
Perry North,0,0.19,0.96
Westwood,0.2,0.04,0.93
Beltzhoover,0.1,0.02,0.87
Central Lawrenceville,0.1,0.05,0.71
South Side Flats,0,0.13,0.6
Allentown,0,0.01,0.87
South Side Slopes,0,0.02,0.6
Bluff,0,0.02,0.53
Fineview,0,0.01,0.57
Hazelwood,0,0.07,0.93
Lincoln-Lemington-Belmar,0,0.09,0.67
East Hills,0,0.08,0.94
South Oakland,0.2,0.02,0
Mount Washington,0,0.1,0.9
Greenfield,0,0.09,0.93
Squirrel Hill South,0,1,0.46
Central Northside,0.9,0.06,0.57
Spring Garden,0.2,0,0.57
Troy Hill,0.1,0.01,0.57
East Allegheny,0,0.04,0.57
Stanton Heights,0.2,0.15,0.71
Lower Lawrenceville,0.2,0.05,0.71
Bloomfield,0,0.14,0.72
Carrick,0,0.1,0.87
Point Breeze,0.2,0.26,0.87
Duquesne Heights,0.3,0.01,0.9
Swisshelm Park,0.9,0.05,1
Highland Park,0,0.61,0.67
Garfield,0,0.06,0.67
Manchester,0.1,0.07,0.93
Upper Lawrenceville,0.3,0.05,0.71
Beechview,0,0.08,0.88
Brookline,0,0.13,0.86
Morningside,0.3,0.05,0.67
Larimer,0,0.04,0.53
North Shore,0,0.05,0.57
Bon Air,0.2,0.01,0.87
Banksville,0.2,0.08,0.95
Windgap,0.5,0.02,0.97
Friendship,0.3,0.03,0.78
Arlington,0.2,0.01,0.87
St. Clair,0.8,0,0
Mt. Oliver,0,0,0.87
Sheraden,0,0.05,0.97
South Shore,0.2,0,0.6
Allegheny West,0.5,0.08,0.57
Elliott,0,0.03,0.95
Shadyside,0,0.23,0.78
Knoxville,0,0.07,0.87
Allegheny Center,0,0.23,0.57
Brighton Heights,0,0.13,0.57
Crafton Heights,0,0.05,0.97
Polish Hill,0.3,0.02,0.71
Chateau,0.1,0.03,0.93
Arlington Heights,0.3,0,0.87
Squirrel Hill North,0.2,0.49,0.46
Terrace Village,0.2,0.02,0.57
Bedford Dwellings,0,0.01,0.53
Regent Square,0.9,0.09,1
Hays,0.5,0,0.98
Point Breeze North,0.2,0.08,0.87
Marshall-Shadeland,0,0.07,0.57
Lincoln Place,0.2,0.04,0.93
Overbrook,0.2,0.04,0.87
Homewood South,0,0.04,0.87
Homewood North,0,0.04,0.87
Mount Oliver Borough,0,0,0.87
Homewood West,0,0.01,0.87
Oakwood,0.7,0.01,0.93
East Liberty,0,0.12,0.67
East Carnegie,0.9,0,0
New Homestead,0.9,0.04,0.93
Upper Hill,0.2,0.02,0
Middle Hill,0,0.03,0
Esplen,0.3,0,0.97
Fairywood,0.5,0.01,0.93
Chartiers City,0.9,0.01,0.97
Ridgemont,0.9,0,0.95
West End,0.2,0.01,0.95
California-Kirkbride,0.2,0.01,0.93
Glen Hazel,0.3,0,0.93
